standard_count,total_CB_count,total_test_count,1 (60950-1),Lab. AH,Lab_AH_log
2,0,3,0,1.945910149055313,1.0804178182729876
2,1,1,0,0.0,0.0
1,1,5,0,1.791759469228055,1.026672031199051
1,1,3,0,1.6094379124341,0.9591348389208239
1,1,4,0,1.6094379124341,0.9591348389208239
1,0,7,0,1.6094379124341,0.9591348389208239
2,0,3,0,2.833213344056216,1.3437034446606386
2,1,16,0,1.6094379124341,0.9591348389208239
2,0,22,0,1.6094379124341,0.9591348389208239
1,0,12,0,1.6094379124341,0.9591348389208239
1,0,2,1,0.6931471805599453,0.5265890341390445
1,0,10,0,1.6094379124341,0.9591348389208239
3,1,3,0,1.09861228866811,0.7412763113750154
1,0,4,0,1.386294361119891,0.869741686191944
2,1,19,0,1.6094379124341,0.9591348389208239
1,0,5,0,1.6094379124341,0.9591348389208239
1,1,7,0,1.945910149055313,1.0804178182729876
2,1,22,0,1.6094379124341,0.9591348389208239
1,1,3,0,2.397895272798371,1.223156202527103
1,0,3,0,2.397895272798371,1.223156202527103
1,1,3,0,1.178654996341646,0.7787077122389138
2,1,3,0,1.178654996341646,0.7787077122389138
1,0,7,1,2.818398258271075,1.3398310305684116
1,1,27,0,1.504077396776274,0.9179203620158713
1,0,2,0,2.251291798606495,1.1790523938630963
1,1,2,0,1.871802176901591,1.054939768904731
2,1,1,0,0.4054651081081644,0.3403682858041914
1,1,9,0,2.917770732084279,1.3655228012416016
1,1,3,0,1.252762968495368,0.8121574488561436
3,1,10,0,2.674148649426529,1.3013214458074807
1,0,13,0,1.504077396776274,0.9179203620158713
1,1,25,0,1.504077396776274,0.9179203620158713
2,1,25,0,1.504077396776274,0.9179203620158713
1,0,2,0,0.9162907318741551,0.65039140701146
1,1,1,0,2.140066163496271,1.1442438708753242
2,1,4,0,2.442347035369204,1.23615351646328
2,1,10,0,2.442347035369204,1.23615351646328
3,1,2,0,1.446918982936325,0.8948296751818706
2,1,0,0,0.0,0.0
1,1,5,0,1.945910149055313,1.0804178182729876
2,1,0,0,0.0,0.0
1,0,0,0,0.0,0.0
1,0,3,0,2.397895272798371,1.223156202527103
1,1,15,0,1.386294361119891,0.869741686191944
2,1,0,0,0.0,0.0
1,1,17,0,0.0,0.0
1,1,5,0,1.945910149055313,1.0804178182729876
1,1,2,0,0.0,0.0
1,1,0,0,1.386294361119891,0.869741686191944
2,1,7,0,0.0,0.0
1,1,17,0,0.0,0.0
1,1,17,0,0.0,0.0
3,1,0,0,0.0,0.0
1,1,5,0,1.945910149055313,1.0804178182729876
1,1,24,0,1.386294361119891,0.869741686191944
1,0,3,0,1.945910149055313,1.0804178182729876
2,0,24,0,0.0,0.0
1,1,18,0,0.0,0.0
1,1,16,0,0.0,0.0
1,0,22,0,0.0,0.0
3,1,14,0,0.0,0.0
1,1,17,0,0.0,0.0
2,1,17,0,3.218875824868201,1.4395687003478859
1,0,0,0,0.0,0.0
1,1,0,0,1.386294361119891,0.869741686191944
1,0,20,0,0.0,0.0
1,0,7,0,1.386294361119891,0.869741686191944
1,1,19,0,0.0,0.0
1,1,0,0,0.0,0.0
2,1,20,0,3.49650756146648,1.503300998004841
1,1,5,0,1.386294361119891,0.869741686191944
1,1,13,0,2.995732273553991,1.3852268599316875
1,1,18,0,0.0,0.0
2,1,0,0,0.0,0.0
3,1,0,0,0.0,0.0
2,1,5,0,2.564949357461537,1.2711498482847257
1,0,4,0,1.791759469228055,1.026672031199051
1,0,1,0,0.0,0.0
1,1,24,0,1.386294361119891,0.869741686191944
1,0,2,0,2.639057329615258,1.291724672728311
1,0,14,1,1.386294361119891,0.869741686191944
2,0,22,0,1.386294361119891,0.869741686191944
1,1,8,1,2.833213344056216,1.3437034446606386
1,1,23,0,1.386294361119891,0.869741686191944
1,0,19,0,1.386294361119891,0.869741686191944
2,1,3,0,1.386294361119891,0.869741686191944
1,0,22,0,1.386294361119891,0.869741686191944
1,1,24,0,1.386294361119891,0.869741686191944
1,1,7,0,2.19722457733622,1.1622831138840006
1,0,5,0,2.484906649788,1.2484412575662103
1,0,11,0,3.178053830347946,1.4298455472897516
1,0,6,1,1.321755839982319,0.8423237270072311
1,0,9,1,2.420368128650429,1.2297481852380152
2,1,0,0,1.321755839982319,0.8423237270072311
1,1,1,0,0.8109302162163288,0.5938406448713454
1,1,2,0,2.251291798606495,1.1790523938630963
1,1,5,0,1.252762968495368,0.8121574488561436
1,1,5,0,2.014903020542265,1.1035676640041994
1,1,5,0,2.525728644308256,1.2600871225083377
2,1,3,0,3.068052935133617,1.4031644906713696
1,1,15,0,1.252762968495368,0.8121574488561436
1,1,4,0,2.014903020542265,1.1035676640041994
1,1,7,0,2.351375257163478,1.209370786121248
1,1,8,0,2.442347035369204,1.23615351646328
1,1,0,0,1.252762968495368,0.8121574488561436
1,0,2,0,2.674148649426529,1.3013214458074807
1,1,4,0,1.178654996341646,0.7787077122389138
1,0,2,0,1.178654996341646,0.7787077122389138
1,1,3,0,2.327277705584417,1.2021544638217265
1,0,9,0,1.178654996341646,0.7787077122389138
2,1,10,0,3.008154793552548,1.3883309841826317
1,0,13,0,3.056356895370426,1.4002852543730502
1,1,2,0,0.0,0.0
1,1,2,0,0.0,0.0
1,1,3,1,1.6094379124341,0.9591348389208239
1,1,2,0,2.397895272798371,1.223156202527103
1,0,0,1,0.0,0.0
1,0,2,0,1.6094379124341,0.9591348389208239
2,1,1,0,0.0,0.0
2,1,1,0,1.945910149055313,1.0804178182729876
1,0,1,0,1.386294361119891,0.869741686191944
1,1,9,0,1.09861228866811,0.7412763113750154
2,1,6,0,2.70805020110221,1.3105061862047918
2,0,7,0,1.09861228866811,0.7412763113750154
2,1,4,0,1.945910149055313,1.0804178182729876
2,1,9,0,2.890371757896165,1.358504720646626
